dataset_id,row_id,series_id,longitude_begin,latitude_begin,longitude_end,latitude_end,datetime_begin,datetime_end,length_km,speed_kph,eff_status,ds_type,id_obs
793,793_38399079,,-120.782333,34.906833,-120.779167,34.958,2008-04-06 13:36:00,2008-04-06 14:00:00,5.6838,14.2095,,lneff,792
793,793_38399078,,-120.727667,34.347667,-120.745333,34.339833,2008-04-06 08:21:00,2008-04-06 08:28:00,1.8432,15.7987,,lneff,792
793,793_38399077,,-120.661667,34.376,-120.727667,34.347667,2008-04-06 07:57:00,2008-04-06 08:21:00,6.8367,17.0917,,lneff,792
793,793_38399076,,-120.549333,34.438333,-120.661667,34.376,2008-04-06 07:10:00,2008-04-06 07:57:00,12.4291,15.8669,,lneff,792
793,793_38399075,,-119.478833,34.003,-119.507333,34.174833,2008-04-05 15:39:00,2008-04-05 16:59:00,19.241,14.4308,,lneff,792
793,793_38399074,,-119.556667,33.9685,-119.478833,34.003,2008-04-05 15:11:00,2008-04-05 15:39:00,8.1466,17.4571,,lneff,792
793,793_38399073,,-121.612333,33.1615,-121.5025,33.215,2008-04-04 16:56:00,2008-04-04 17:45:00,11.837,14.4942,,lneff,792
793,793_38399072,,-121.624,33.155667,-121.612333,33.1615,2008-04-04 16:51:00,2008-04-04 16:56:00,1.2661,15.1934,,lneff,792
793,793_38399071,,-121.661833,33.1365,-121.624,33.155667,2008-04-04 16:36:00,2008-04-04 16:51:00,4.1205,16.4818,,lneff,792
793,793_38399070,,-121.787,33.0785,-121.661833,33.1365,2008-04-04 15:45:00,2008-04-04 16:36:00,13.3369,15.6904,,lneff,792
793,793_38399069,,-121.946167,33.000167,-121.872667,33.035833,2008-04-04 14:15:00,2008-04-04 15:05:00,7.9251,9.5102,,lneff,792
793,793_38399068,,-121.974167,32.985667,-121.946167,33.000167,2008-04-04 13:56:00,2008-04-04 14:15:00,3.0715,9.6995,,lneff,792
793,793_38399067,,-121.997833,32.972667,-121.974167,32.985667,2008-04-04 13:40:00,2008-04-04 13:56:00,2.6405,9.902,,lneff,792
793,793_38399066,,-122.120667,32.902333,-121.997833,32.972667,2008-04-04 12:18:00,2008-04-04 13:40:00,13.8853,10.16,,lneff,792
793,793_38399065,,-122.445,32.7555,-122.1775,32.884833,2008-04-04 07:39:00,2008-04-04 09:28:00,28.8651,15.8891,,lneff,792
793,793_38399064,,-122.5185,32.720833,-122.445,32.7555,2008-04-04 07:12:00,2008-04-04 07:39:00,7.8892,17.5315,,lneff,792
793,793_38399063,,-122.542833,32.709167,-122.5185,32.720833,2008-04-04 07:03:00,2008-04-04 07:12:00,2.6226,17.484,,lneff,792
793,793_38399062,,-122.653167,32.654833,-122.542833,32.709167,2008-04-04 06:23:00,2008-04-04 07:03:00,11.9744,17.9616,,lneff,792
793,793_38399061,,-124.032167,31.972,-123.994667,31.992167,2008-04-03 18:00:00,2008-04-03 18:14:00,4.1907,17.9602,,lneff,792
793,793_38399060,,-124.1585,31.904833,-124.032167,31.972,2008-04-03 17:12:00,2008-04-03 18:00:00,14.0772,17.5965,,lneff,792
793,793_38399059,,-124.104167,31.8185,-124.137,31.8645,2008-04-03 13:40:00,2008-04-03 14:02:00,5.9729,16.2897,,lneff,792
793,793_38399058,,-124.0135,31.6945,-124.104167,31.8185,2008-04-03 12:43:00,2008-04-03 13:40:00,16.2122,17.0654,,lneff,792
793,793_38399057,,-123.929667,31.575833,-124.0135,31.6945,2008-04-03 11:48:00,2008-04-03 12:43:00,15.3745,16.7722,,lneff,792
793,793_38399056,,-123.870333,31.495333,-123.929667,31.575833,2008-04-03 11:10:00,2008-04-03 11:48:00,10.5555,16.6666,,lneff,792
793,793_38399055,,-123.775,31.369333,-123.870333,31.495333,2008-04-03 10:11:00,2008-04-03 11:10:00,16.6529,16.9352,,lneff,792
793,793_38399054,,-123.7535,31.342167,-123.775,31.369333,2008-04-03 09:59:00,2008-04-03 10:11:00,3.641,18.2052,,lneff,792
793,793_38399053,,-123.652667,31.367,-123.7415,31.3235,2008-04-03 06:45:00,2008-04-03 07:20:00,9.7324,16.684,,lneff,792
793,793_38399052,,-123.577833,31.404333,-123.652667,31.367,2008-04-03 06:16:00,2008-04-03 06:45:00,8.2341,17.0361,,lneff,792
793,793_38399051,,-122.294333,32.038167,-122.344167,32.014167,2008-04-02 17:47:00,2008-04-02 18:08:00,5.4078,15.4509,,lneff,792
793,793_38399050,,-122.183,32.092167,-122.294333,32.038167,2008-04-02 17:00:00,2008-04-02 17:47:00,12.0985,15.4449,,lneff,792
793,793_38399049,,-122.1295,32.119167,-122.183,32.092167,2008-04-02 16:37:00,2008-04-02 17:00:00,5.8705,15.3142,,lneff,792
793,793_38399048,,-121.980667,32.1915,-122.1295,32.119167,2008-04-02 15:32:00,2008-04-02 16:37:00,16.1696,14.9258,,lneff,792
793,793_38399047,,-121.942833,32.206833,-121.980667,32.1915,2008-04-02 15:16:00,2008-04-02 15:32:00,3.9518,14.8192,,lneff,792
793,793_38399046,,-121.765833,32.291833,-121.942833,32.206833,2008-04-02 13:57:00,2008-04-02 15:16:00,19.1589,14.551,,lneff,792
793,793_38399045,,-121.694167,32.323,-121.765833,32.291833,2008-04-02 13:26:00,2008-04-02 13:57:00,7.5827,14.6762,,lneff,792
793,793_38399044,,-121.481833,32.436667,-121.5325,32.4135,2008-04-02 09:54:00,2008-04-02 10:13:00,5.4139,17.0964,,lneff,792
793,793_38399043,,-121.204,32.561333,-121.481833,32.436667,2008-04-02 08:13:00,2008-04-02 09:54:00,29.5443,17.5511,,lneff,792
793,793_38399042,,-121.131167,32.5915,-121.204,32.561333,2008-04-02 07:48:00,2008-04-02 08:13:00,7.6132,18.2718,,lneff,792
793,793_38399041,,-121.0345,32.633,-121.131167,32.5915,2008-04-02 07:11:00,2008-04-02 07:48:00,10.1736,16.4978,,lneff,792
793,793_38399040,,-119.854667,33.209667,-119.878667,33.199667,2008-04-01 17:50:00,2008-04-01 17:59:00,2.4975,16.6497,,lneff,792
793,793_38399039,,-119.8015,33.242167,-119.854667,33.209667,2008-04-01 17:29:00,2008-04-01 17:50:00,6.1281,17.5089,,lneff,792
793,793_38399038,,-119.739667,33.278333,-119.8015,33.242167,2008-04-01 17:04:00,2008-04-01 17:29:00,7.0202,16.8486,,lneff,792
793,793_38399037,,-119.724333,33.287333,-119.739667,33.278333,2008-04-01 16:57:00,2008-04-01 17:04:00,1.7426,14.9368,,lneff,792
793,793_38399036,,-119.691667,33.305167,-119.724333,33.287333,2008-04-01 16:40:00,2008-04-01 16:57:00,3.6289,12.808,,lneff,792
793,793_38399035,,-119.493167,33.407,-119.612,33.349,2008-04-01 14:07:00,2008-04-01 14:51:00,12.7928,17.4447,,lneff,792
793,793_38399034,,-119.471,33.416833,-119.493167,33.407,2008-04-01 13:59:00,2008-04-01 14:07:00,2.3326,17.4942,,lneff,792
793,793_38399033,,-119.434833,33.433167,-119.456167,33.423667,2008-04-01 13:46:00,2008-04-01 13:53:00,2.2465,19.2554,,lneff,792
793,793_38399032,,-119.356167,33.4725,-119.434833,33.433167,2008-04-01 13:16:00,2008-04-01 13:46:00,8.5161,17.0321,,lneff,792
793,793_38399031,,-119.186,33.559167,-119.265833,33.518667,2008-04-01 10:11:00,2008-04-01 10:43:00,8.6695,16.2553,,lneff,792
793,793_38399030,,-119.054667,33.630833,-119.186,33.559167,2008-04-01 09:17:00,2008-04-01 10:11:00,14.553,16.17,,lneff,792
793,793_38399029,,-119.009167,33.658167,-119.054667,33.630833,2008-04-01 08:57:00,2008-04-01 09:17:00,5.1969,15.5908,,lneff,792
793,793_38399028,,-117.800667,33.464667,-117.769667,33.4835,2008-03-31 16:40:00,2008-03-31 16:52:00,3.5589,17.7946,,lneff,792
793,793_38399027,,-117.898167,33.411667,-117.800667,33.464667,2008-03-31 15:51:00,2008-03-31 16:40:00,10.8053,13.231,,lneff,792
793,793_38399026,,-117.937167,33.394333,-117.906333,33.417667,2008-03-31 13:01:00,2008-03-31 13:15:00,3.8633,16.5568,,lneff,792
793,793_38399025,,-118.059333,33.292667,-117.937167,33.394333,2008-03-31 12:07:00,2008-03-31 13:01:00,16.0148,17.7943,,lneff,792
793,793_38399024,,-118.112333,33.302167,-118.059333,33.292667,2008-03-31 11:49:00,2008-03-31 12:07:00,5.0475,16.8251,,lneff,792
793,793_38399023,,-118.1665,33.278167,-118.112333,33.302167,2008-03-31 11:30:00,2008-03-31 11:49:00,5.7045,18.0144,,lneff,792
793,793_38399022,,-118.222333,33.254,-118.1665,33.278167,2008-03-31 11:09:00,2008-03-31 11:30:00,5.852,16.7199,,lneff,792
793,793_38399021,,-118.3715,33.205333,-118.249167,33.251,2008-03-31 07:28:00,2008-03-31 08:13:00,12.4771,16.6362,,lneff,792
793,793_38399020,,-118.3975,33.1965,-118.3715,33.205333,2008-03-31 07:15:00,2008-03-31 07:28:00,2.6147,12.0679,,lneff,792
793,793_38399019,,-120.0245,32.389833,-120.003167,32.399667,2008-03-30 10:17:00,2008-03-30 10:25:00,2.2843,17.132,,lneff,792
793,793_38399018,,-120.2265,32.282167,-120.0245,32.389833,2008-03-30 08:59:00,2008-03-30 10:17:00,22.4549,17.273,,lneff,792
793,793_38399017,,-120.257833,32.267167,-120.2265,32.282167,2008-03-30 08:47:00,2008-03-30 08:59:00,3.3883,16.9414,,lneff,792
793,793_38399016,,-120.276,32.258167,-120.257833,32.267167,2008-03-30 08:40:00,2008-03-30 08:47:00,1.9814,16.9838,,lneff,792
793,793_38399015,,-120.302667,32.245167,-120.276,32.258167,2008-03-30 08:30:00,2008-03-30 08:40:00,2.8971,17.3825,,lneff,792
793,793_38399014,,-120.3825,32.210167,-120.302667,32.245167,2008-03-30 08:00:00,2008-03-30 08:30:00,8.4669,16.9338,,lneff,792
793,793_38399013,,-120.472667,32.169833,-120.3825,32.210167,2008-03-30 07:26:00,2008-03-30 08:00:00,9.6072,16.9538,,lneff,792
793,793_38399012,,-120.614667,32.103,-120.472667,32.169833,2008-03-30 06:31:00,2008-03-30 07:26:00,15.3112,16.7031,,lneff,792
793,793_38399011,,-121.743,31.538667,-121.724,31.549667,2008-03-29 17:52:00,2008-03-29 18:00:00,2.1778,16.3333,,lneff,792
793,793_38399010,,-121.750667,31.534333,-121.743,31.538667,2008-03-29 17:49:00,2008-03-29 17:52:00,0.8724,17.4477,,lneff,792
793,793_38399009,,-121.782833,31.513167,-121.750667,31.534333,2008-03-29 17:35:00,2008-03-29 17:49:00,3.8524,16.5104,,lneff,792
793,793_38399008,,-121.845667,31.4715,-121.782833,31.513167,2008-03-29 17:07:00,2008-03-29 17:35:00,7.5487,16.1758,,lneff,792
793,793_38399007,,-121.976,31.395,-121.845667,31.4715,2008-03-29 16:08:00,2008-03-29 17:07:00,15.0159,15.2704,,lneff,792
793,793_38399006,,-122.382167,31.221,-122.047667,31.387333,2008-03-29 11:01:00,2008-03-29 13:09:00,36.7991,17.2496,,lneff,792
793,793_38399005,,-122.622333,31.098167,-122.382167,31.221,2008-03-29 09:28:00,2008-03-29 11:01:00,26.6424,17.1886,,lneff,792
793,793_38399004,,-123.852167,30.217,-123.9645,30.369667,2008-03-28 13:40:00,2008-03-28 15:08:00,20.0802,13.691,,lneff,792
793,793_38399003,,-123.673,29.977667,-123.688,29.9965,2008-03-28 11:17:00,2008-03-28 11:29:00,2.5404,12.702,,lneff,792
793,793_38399002,,-123.612667,29.894333,-123.673,29.977667,2008-03-28 10:27:00,2008-03-28 11:17:00,10.9209,13.1051,,lneff,792
793,793_38399001,,-123.5845,29.857833,-123.612667,29.894333,2008-03-28 09:52:00,2008-03-28 10:27:00,4.8759,8.3588,,lneff,792
793,793_38399000,,-119.409167,31.938167,-119.485167,31.891333,2008-03-26 09:32:00,2008-03-26 10:07:00,8.8678,15.202,,lneff,792
793,793_38398999,,-119.290333,32.008667,-119.409167,31.938167,2008-03-26 08:37:00,2008-03-26 09:32:00,13.6849,14.929,,lneff,792
793,793_38398998,,-118.026,32.599667,-118.171,32.5335,2008-03-25 13:57:00,2008-03-25 15:56:00,15.4678,7.7989,,lneff,792
793,793_38398997,,-117.894167,32.666667,-117.9,32.663333,2008-03-25 13:01:00,2008-03-25 13:05:00,0.6604,9.9056,,lneff,792
793,793_38398996,,-117.633833,32.801833,-117.816667,32.702667,2008-03-25 09:07:00,2008-03-25 10:23:00,20.3598,16.0735,,lneff,792
